state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,est_tilt_angle_degrees,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,122,0,16.262870000000003,302.9268292682927,80.75684799,36.70684814,98483.34375000,-0.70456260,0.70838517,-0.01827219,-0.00832093,0.05570761,0.99768692,3.64287472,-0.61695272,0.77133363,0.07172363,-10.02556992,-46.27430344,-20.47999954,-0.81423092,-0.02442165,0.00006921,-0.03588477,-0.71558839,0.00530111,0.69757974,,,,1,0,1777050677020453768
S,122,0,16.27897,289.0243902439024,80.76942710,36.71574402,98483.53125000,-0.70419508,0.70936269,-0.01559208,-0.01100534,0.05486253,0.99809730,3.65393019,-0.04474816,0.41275212,-0.11901122,-10.03833580,-46.35876846,-20.37051964,-0.81811422,-0.03052435,0.00008650,-0.03600648,-0.71559519,0.00531872,0.69756633,,,,1,0,1777050677031441668
S,122,0,16.262870000000003,333.9024390243903,80.77949080,36.71835327,98482.21875000,-0.70797849,0.70386851,-0.02339231,-0.00351250,0.06156224,0.99669927,3.64899731,0.35960972,0.24490546,0.00305909,-10.03915405,-46.49127960,-20.38867950,-0.81632519,-0.02713888,0.00007691,-0.03597465,-0.71561438,0.00526800,0.69754875,,,,1,0,1777050677042429661
S,122,0,16.26794,279.0243902439025,80.79115963,36.71061707,98482.93750000,-0.70859075,0.70594448,-0.02400105,-0.00295264,0.06058920,0.99867660,3.64599109,0.55034459,-0.18997000,-0.08849364,-10.02559853,-46.28636932,-20.44959068,-0.81523448,-0.02498250,0.00007080,-0.03592404,-0.71563137,0.00526496,0.69753391,,,,1,0,1777050677053408496
S,122,0,16.27083,299.0243902439024,80.80213264,36.70742798,98483.25000000,-0.71054035,0.70313770,-0.02473469,-0.00238162,0.06394457,0.99789149,3.64711857,0.75633824,-0.47225758,-0.17241697,-10.05687523,-46.36495209,-20.28541756,-0.81602407,-0.02613839,0.00007407,-0.03589811,-0.71564502,0.00529465,0.69752103,,,,1,0,1777050677064411861
S,122,0,16.264930000000003,299.0243902439024,80.81346034,36.72328186,98482.89062500,-0.70956302,0.70057255,-0.02534370,-0.00178063,0.06483594,0.99534786,3.64228344,0.81737339,-0.63247484,-0.27159908,-10.03874969,-46.42502594,-20.38264084,-0.81500882,-0.02416738,0.00006848,-0.03579252,-0.71566021,0.00532364,0.69751066,,,,1,0,1777050677075403479
S,122,0,16.264190000000003,274.8780487804878,80.82259215,36.72221375,98481.65625000,-0.71066302,0.69935107,-0.02899891,0.00178277,0.06617010,0.99528551,3.61931014,0.97759062,-0.81558031,-0.34789303,-9.98912621,-46.41868210,-20.43729782,-0.80698097,-0.01062386,0.00003011,-0.03554343,-0.71568042,0.00525044,0.69750321,,,,1,0,1777050677086402775
S,122,0,16.26705,405.8536585365854,80.83483812,36.70393372,98482.04687500,-0.71687967,0.69447231,-0.02973736,0.00216579,0.07357739,0.99582851,3.59368515,1.26750767,-1.22756755,-0.43181637,-10.05655384,-46.28658676,-20.38883018,-0.79800481,0.00429683,0.00001218,-0.03524768,-0.71569663,0.00519226,0.69750202,,,,1,0,1777050677097380611
S,122,0,16.26699,313.9024390243902,80.84616593,36.69891357,98482.25000000,-0.72334075,0.69130343,-0.02950105,0.00162232,0.08005212,0.99778837,3.57078314,1.38957798,-1.54800212,-0.24108152,-10.04380703,-46.23834229,-20.35844040,-0.78991544,0.01741836,0.00004936,-0.03495038,-0.71570086,0.00518271,0.69751281,,,,1,0,1777050677109163174
S,122,0,16.26301,308.0487804878049,80.85748038,36.70722961,98482.14062500,-0.72882116,0.68593723,-0.02597632,-0.00219351,0.08734524,0.99736202,3.55985475,1.16069615,-1.34200847,-0.25634030,-10.08177948,-46.37714386,-20.28544426,-0.78648180,0.02269059,0.00006430,-0.03478455,-0.71570337,0.00520085,0.69751835,,,,1,0,1777050677119353969
