state,extension,timestamp,gpsCorrelTimestampFlags,gpsCorrelTimestampTow,gpsCorrelTimestampWeekNum,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estOrientQuaternionW,estPressureAlt,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAttitudeUncertQuaternionW,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ
TEST_STATE,0.5,1726608208428351744,6,304.4609985,0,-0.03528558835,-0.0003643357195,1.003084183,0.04005333781,0.05188310146,0.04271006584,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208429351680,6,304.4620056,0,-0.04706196487,-0.003711878555,0.9983599782,0.04109299555,0.05182516575,0.03436935693,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208431414784,,,,,,,,,,304.4620056,0,0.004530126695,-0.6486943364,-0.7608049512,-0.01873622276,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03683034703,0.04384808242,0.03521104157,-0.2587245107,0.07119325548,9.870381355
TEST_STATE,0.5,1726608208430350592,6,304.4630127,0,-0.02610895038,0.06734202802,1.019693732,0.04162392765,0.05522926897,0.04360989481,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208431348736,6,304.4639893,0,0.3239577413,0.4930053949,1.090045452,0.042573452,0.06408527493,0.06915980577,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208433410816,,,,,,,,,,304.4639893,0,0.004593289923,-0.6487195492,-0.7607830763,-0.01873610914,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.04424034804,0.05136876181,0.03388695419,-0.4740360975,-0.05088185892,9.793568611
TEST_STATE,0.5,1726608208432346112,6,304.4649963,0,0.6442257166,0.8854191303,1.020380855,0.05854514986,0.0601776205,0.1090442315,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208433342464,6,304.4660034,0,0.008770287037,0.0643736124,0.8990209699,0.063186571,0.04469493777,0.1553344578,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208435405312,,,,,,,,,,304.4660034,0,0.004665737506,-0.6487557292,-0.7607517242,-0.01873871684,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.0442789197,0.06118012965,0.06460921466,2.618591309,4.298103809,10.63093758
TEST_STATE,0.5,1726608208434338048,6,304.4670105,0,-0.1174670458,-0.2663185,1.075918198,0.03621822596,0.05451959744,0.1798133999,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208435337728,6,304.4679871,0,0.3373332024,0.6342989802,0.9567472935,0.03314770013,0.06006330624,0.1742433012,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208437403136,,,,,,,,,,304.4679871,0,0.004744565114,-0.6488386989,-0.7606807351,-0.01872914098,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.06913653016,0.04388445988,0.1567696333,2.21807766,3.319092035,8.815135956
TEST_STATE,0.5,1726608208436336896,6,304.4689941,0,0.2775945961,0.4381715655,1.049700499,0.04815331846,0.06605963409,0.2029555589,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208437335040,6,304.4700012,0,-0.2635294497,-0.2160387635,1.047168136,0.04637162387,0.07320563495,0.2701682746,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208439399168,,,,,,,,,,304.4700012,0,0.004818290938,-0.6489656568,-0.7605720758,-0.01872548088,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.02682992443,0.05980354548,0.180197522,2.103564501,3.583442688,10.14701462
TEST_STATE,0.5,1726608208438332416,6,304.4710083,0,-0.05578763783,-0.0485470444,0.9738072157,0.03088283911,0.08099690825,0.338594079,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208439329024,6,304.4719849,0,0.1780000776,0.2346925586,0.9342169762,0.03429821879,0.07171884179,0.3718357682,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208441393920,,,,,,,,,,304.4719849,0,0.00489832228,-0.6491332054,-0.7604281902,-0.01873656549,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.05318094417,0.07143625617,0.2642460167,-1.806468725,-1.565306425,10.56388187
TEST_STATE,0.5,1726608208440324608,6,304.4729919,0,-0.1510555893,0.04192145169,0.960965693,0.02706840634,0.06271077693,0.4260203838,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208441330432,6,304.473999,0,-0.121195063,-0.192244336,0.9273670912,-0.0001248437911,0.06300771981,0.4947761595,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208443397888,,,,,,,,,,304.473999,0,0.00498665683,-0.6493784189,-0.7602179646,-0.01875021867,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03045677766,0.07350481302,0.3847269118,1.977347255,2.319853306,9.003063202
